V1,V2,V3
-122.125590551181,44.9832402234637,659
-122.108858267717,44.9832402234637,645
-122.092125984252,44.9832402234637,733
-122.075393700787,44.9832402234637,817
-122.058661417323,44.9832402234637,688
-122.041929133858,44.9832402234637,629
-122.025196850394,44.9832402234637,714
-122.008464566929,44.9832402234637,983
-121.991732283465,44.9832402234637,1049
-121.975,44.9832402234637,1344
-126.225,44.9664804469274,-2795
-126.208267716535,44.9664804469274,-2800
-126.191535433071,44.9664804469274,-2805
-126.174803149606,44.9664804469274,-2811
-126.158070866142,44.9664804469274,-2815
-126.141338582677,44.9664804469274,-2819
-126.124606299213,44.9664804469274,-2822
-126.107874015748,44.9664804469274,-2823
-126.091141732283,44.9664804469274,-2823
-126.074409448819,44.9664804469274,-2823
-126.057677165354,44.9664804469274,-2820
-126.04094488189,44.9664804469274,-2811
-126.024212598425,44.9664804469274,-2797
-126.007480314961,44.9664804469274,-2799
-125.990748031496,44.9664804469274,-2802
-125.974015748031,44.9664804469274,-2798
-125.957283464567,44.9664804469274,-2800
-125.940551181102,44.9664804469274,-2804
-125.923818897638,44.9664804469274,-2809
-125.907086614173,44.9664804469274,-2814
-125.890354330709,44.9664804469274,-2820
-125.873622047244,44.9664804469274,-2831
-125.85688976378,44.9664804469274,-2831
-125.840157480315,44.9664804469274,-2828
-125.82342519685,44.9664804469274,-2826
-125.806692913386,44.9664804469274,-2823
-125.789960629921,44.9664804469274,-2817
-125.773228346457,44.9664804469274,-2815
-125.756496062992,44.9664804469274,-2806
-125.739763779528,44.9664804469274,-2807
-125.723031496063,44.9664804469274,-2806
-125.706299212598,44.9664804469274,-2804
-125.689566929134,44.9664804469274,-2803
-125.672834645669,44.9664804469274,-2798
-125.656102362205,44.9664804469274,-2794
-125.63937007874,44.9664804469274,-2788
-125.622637795276,44.9664804469274,-2783
-125.605905511811,44.9664804469274,-2755
-125.589173228346,44.9664804469274,-2753
-125.572440944882,44.9664804469274,-2758
-125.555708661417,44.9664804469274,-2756
-125.538976377953,44.9664804469274,-2751
-125.522244094488,44.9664804469274,-2757
